Blockchain,DEX,Days,Swaps,Swappers,Volume,AmountAverage,AmountMedian,Swaps/Day,Swappers/Day,Volume/Day,Swaps/Swapper,Volume/Swapper
Osmosis,Osmosis,8,98140,16377,28987055.87,295.2830979,15.04435502,12268,2047,3623382,6,1770
Polygon,Farmhero,1,1,1,3.904357253,3.904357253,3.904357253,1,1,4,1,4
Polygon,Others,8,95875,11889,152776372.1,1593.495406,35.97172397,11984,1486,19097047,8,12850
Polygon,SushiSwap,8,467213,106668,205151405,439.0960974,4.487219995,58402,13334,25643926,4,1923
Polygon,Sushiswap,1,1,1,1.420627296,1.420627296,1.420627296,1,1,1,1,1
Polygon,Kyber Swap,1,1,1,69.92617972,69.92617972,69.92617972,1,1,70,1,70
Polygon,Quickswap,8,54091,6829,7816298.141,144.502748,30.54275495,6761,854,977037,8,1145
Polygon,Nftismus,1,1,1,114.4810903,114.4810903,114.4810903,1,1,114,1,114
Polygon,Kyberswap,8,6347,4,3297228.417,519.4939998,303.3218117,793,1,412154,1587,824307
Polygon,Uniswap,8,96810,33068,76150921.06,786.6018083,8.043892246,12101,4134,9518865,3,2303
Polygon,Apeswap,8,1783,261,183214.3649,102.7562338,36.1160831,223,33,22902,7,702
Polygon,Dfyn Network,8,1330,278,329861.3434,248.0160477,49.65589396,166,35,41233,5,1187
Polygon,Polycat,8,37,2,112.0798106,3.029184069,0.000965764,5,0,14,19,56
Polygon,Cafeswap,8,32,8,77.04245388,2.407576684,2.023720894,4,1,10,4,10
Solana,Saber,8,1108,109,8739813.053,7887.917918,38.31521247,139,14,1092477,10,80182
Solana,Orca,8,17858,2053,4032007.599,225.781588,9.485142125,2232,257,504001,9,1964
Solana,Jupiter,8,1036698,21533,81033445.41,78.16494814,1.018730301,129587,2692,10129181,48,3763
Solana,Raydium,8,25176,5239,3086491.626,122.5965851,19.94952736,3147,655,385811,5,589
THORChain,THORChain,8,128439,2714,144838381.6,709.4113231,410.9028287,16055,339,18104798,47,53367
